epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3292637765407562,1.654899001121521,0.001,0.5503144860267639,1.3347920179367065
1,0.48982611298561096,1.2583001852035522,0.001,0.6540880799293518,0.928316056728363
2,0.6078431606292725,0.9904636144638062,0.001,0.6855345964431763,0.7758082151412964
3,0.6514983177185059,0.8695961236953735,0.001,0.74842768907547,0.6674067378044128
4,0.6751757264137268,0.7791484594345093,0.001,0.75157231092453,0.6120506525039673
5,0.7162412405014038,0.7045974135398865,0.001,0.7672955989837646,0.5688844919204712
6,0.7388087511062622,0.6599134206771851,0.001,0.7987421154975891,0.5154669284820557
7,0.7565667629241943,0.6147972941398621,0.001,0.7798742055892944,0.4780087172985077
8,0.7735849022865295,0.5812338590621948,0.001,0.8113207817077637,0.4453698396682739
9,0.7743248343467712,0.5579441785812378,0.001,0.8113207817077637,0.43432721495628357
10,0.7980022430419922,0.5215705037117004,0.001,0.8427672982215881,0.39968547224998474
11,0.8120606541633606,0.4882639944553375,0.001,0.8364779949188232,0.37691840529441833
12,0.8224195241928101,0.47021257877349854,0.001,0.8427672982215881,0.3754630982875824
13,0.8238993883132935,0.44967493414878845,0.001,0.8616352081298828,0.37089282274246216
14,0.8301886916160583,0.43457934260368347,0.001,0.902515709400177,0.30455282330513
15,0.8361080288887024,0.4204399585723877,0.001,0.8773584961891174,0.30050358176231384
16,0.8449870347976685,0.4026191830635071,0.001,0.8899371027946472,0.2894769012928009
17,0.8497965335845947,0.39189496636390686,0.001,0.9276729822158813,0.26548105478286743
18,0.8627451062202454,0.3642617464065552,0.001,0.9056603908538818,0.2901819944381714
19,0.8634850382804871,0.34797051548957825,0.001,0.9371069073677063,0.23306098580360413
20,0.8690344095230103,0.3544533848762512,0.001,0.9402515888214111,0.23553065955638885
21,0.8657047748565674,0.35391563177108765,0.001,0.9213836193084717,0.23272563517093658
22,0.8760636448860168,0.3424600064754486,0.001,0.9496855139732361,0.21307653188705444
23,0.8860525488853455,0.31992945075035095,0.001,0.9371069073677063,0.1978050172328949
24,0.8890122175216675,0.29738539457321167,0.001,0.9245283007621765,0.19794249534606934
25,0.8982611894607544,0.2839905917644501,0.001,0.9088050127029419,0.20867609977722168
26,0.8797632455825806,0.3131481409072876,0.001,0.9496855139732361,0.1816943734884262
27,0.896781325340271,0.28351184725761414,0.001,0.9591194987297058,0.1712077111005783
28,0.9064003229141235,0.26067328453063965,0.001,0.9654088020324707,0.1495085060596466
29,0.905290424823761,0.25871777534484863,0.001,0.9622641801834106,0.1457563191652298
30,0.9067702293395996,0.25249531865119934,0.001,0.9654088020324707,0.14616532623767853
31,0.9149093627929688,0.24275463819503784,0.001,0.9654088020324707,0.13326209783554077
32,0.9167591333389282,0.23601938784122467,0.001,0.9685534834861755,0.1261676400899887
33,0.9237883687019348,0.22008615732192993,0.001,0.9748427867889404,0.12176574021577835
34,0.9174990653991699,0.23841840028762817,0.001,0.9779874086380005,0.1159062385559082
35,0.9237883687019348,0.22006967663764954,0.001,0.9748427867889404,0.11604755371809006
36,0.9282279014587402,0.21561087667942047,0.001,0.9779874086380005,0.10915518552064896
37,0.9260081648826599,0.2030726820230484,0.001,0.9685534834861755,0.11051859706640244
38,0.934887170791626,0.19407710433006287,0.001,0.9748427867889404,0.10748464614152908
39,0.9393267035484314,0.1710091233253479,0.001,0.9748427867889404,0.0984862670302391
40,0.9374768733978271,0.1845724731683731,0.001,0.9748427867889404,0.08416737616062164
41,0.9426562786102295,0.17150092124938965,0.001,0.9716981053352356,0.09181423485279083
42,0.9441361427307129,0.16332842409610748,0.001,0.9685534834861755,0.09094549715518951
43,0.9422863721847534,0.16307835280895233,0.001,0.9748427867889404,0.07442917674779892
44,0.9459859132766724,0.1606319397687912,0.001,0.9811320900917053,0.0727023333311081
45,0.9419164061546326,0.15875354409217834,0.001,0.9685534834861755,0.08056104183197021
46,0.9445061087608337,0.16700361669063568,0.001,0.9874213933944702,0.06786724179983139
47,0.9544950127601624,0.14111101627349854,0.001,0.9811320900917053,0.07169682532548904
48,0.9496855139732361,0.15368181467056274,0.001,0.9779874086380005,0.06678562611341476
49,0.9567147493362427,0.14052742719650269,0.001,0.9811320900917053,0.05844113975763321
50,0.9533851146697998,0.13132791221141815,0.001,0.9874213933944702,0.05821923911571503
51,0.9519053101539612,0.142917662858963,0.001,0.9811320900917053,0.06321416795253754
52,0.9622641801834106,0.11896952986717224,0.001,0.9874213933944702,0.05683668702840805
53,0.9626340866088867,0.11132097989320755,0.001,0.9842767119407654,0.05279029533267021
54,0.9663336873054504,0.1061474084854126,0.001,0.9779874086380005,0.06461428105831146
55,0.9611542820930481,0.12365470081567764,0.001,0.9842767119407654,0.06142443045973778
56,0.9604143500328064,0.12041980028152466,0.001,0.9842767119407654,0.050994567573070526
57,0.9648538827896118,0.11228319257497787,0.001,0.9874213933944702,0.05322718992829323
58,0.9655937552452087,0.10887353122234344,0.001,0.9842767119407654,0.050493624061346054
59,0.9622641801834106,0.11519049108028412,0.001,0.9905660152435303,0.05014951154589653
60,0.9678135514259338,0.10714991390705109,0.001,0.9842767119407654,0.05664430186152458
61,0.9659637212753296,0.1099567636847496,0.001,0.9874213933944702,0.049513548612594604
62,0.9689233899116516,0.0986906886100769,0.001,0.9842767119407654,0.05087925121188164
63,0.967443585395813,0.10373339056968689,0.001,0.9874213933944702,0.042116113007068634
64,0.9718831181526184,0.0955948606133461,0.001,0.9874213933944702,0.046965356916189194
65,0.9700332880020142,0.09159987419843674,0.001,0.9842767119407654,0.04846768081188202
66,0.9696633219718933,0.09202757477760315,0.001,0.9842767119407654,0.044835228472948074
67,0.970403254032135,0.08383863419294357,0.001,0.9842767119407654,0.04356749355792999
68,0.970403254032135,0.0946488305926323,0.001,0.9842767119407654,0.0516878105700016
69,0.9711431860923767,0.08589957654476166,0.001,0.9842767119407654,0.05032224580645561
70,0.9715131521224976,0.09660081565380096,0.001,0.9874213933944702,0.034341003745794296
71,0.9741028547286987,0.08444979041814804,0.001,0.9905660152435303,0.04076501727104187
72,0.9789122939109802,0.07886338233947754,0.001,0.9874213933944702,0.03953211009502411
73,0.9715131521224976,0.08742416650056839,0.001,0.9842767119407654,0.047849010676145554
74,0.9748427867889404,0.07823047041893005,0.001,0.9905660152435303,0.03719942644238472
75,0.9711431860923767,0.09207551926374435,0.001,0.9874213933944702,0.034923870116472244
76,0.976322591304779,0.0795922577381134,0.001,0.9842767119407654,0.03751243278384209
77,0.9741028547286987,0.07890100032091141,0.001,0.9874213933944702,0.0342831164598465
78,0.9707732200622559,0.08511921018362045,0.001,0.9874213933944702,0.03459632396697998
79,0.9741028547286987,0.08100944012403488,0.001,0.9842767119407654,0.035912029445171356
80,0.9800221920013428,0.07350482791662216,0.001,0.9874213933944702,0.03142804279923439
81,0.9829818606376648,0.06013229489326477,0.001,0.9905660152435303,0.029525352641940117
82,0.981872022151947,0.05678834766149521,0.001,0.9874213933944702,0.031109174713492393
83,0.9770625233650208,0.07241684943437576,0.001,0.9842767119407654,0.033916860818862915
84,0.9800221920013428,0.07099863141775131,0.001,0.9874213933944702,0.03894959017634392
85,0.9752127528190613,0.07487480342388153,0.001,0.9905660152435303,0.02977699041366577
86,0.9840917587280273,0.05838007479906082,0.001,0.9842767119407654,0.02751638926565647
87,0.9785423874855042,0.06174812465906143,0.001,0.9874213933944702,0.03960328549146652
88,0.9803921580314636,0.05613001063466072,0.001,0.9874213933944702,0.028441064059734344
89,0.9785423874855042,0.07316530495882034,0.001,0.9905660152435303,0.025591958314180374
90,0.9800221920013428,0.0675758644938469,0.001,0.9874213933944702,0.03500770032405853
91,0.9822419285774231,0.05758748948574066,0.001,0.9937106966972351,0.029202619567513466
92,0.9822419285774231,0.056338515132665634,0.001,0.9874213933944702,0.04035467281937599
93,0.9863114953041077,0.04362832009792328,0.001,0.9874213933944702,0.032518044114112854
94,0.9807621240615845,0.06043152138590813,0.001,0.9937106966972351,0.022119810804724693
95,0.9852016568183899,0.051417212933301926,0.001,0.9874213933944702,0.0253144484013319
96,0.9840917587280273,0.05251277983188629,0.001,0.9905660152435303,0.022240767255425453
97,0.982611894607544,0.05669385939836502,0.001,0.9905660152435303,0.029257800430059433
98,0.976322591304779,0.06579630821943283,0.001,0.9874213933944702,0.036449067294597626
99,0.9811320900917053,0.060781024396419525,0.001,0.9591194987297058,0.054425060749053955
100,0.9874213933944702,0.05674703046679497,0.001,0.9905660152435303,0.025107113644480705
101,0.9844617247581482,0.04351633042097092,0.001,0.9937106966972351,0.02140957862138748
102,0.9859415292739868,0.05350889265537262,0.001,0.9874213933944702,0.02502118982374668
103,0.9833518266677856,0.049058593809604645,0.001,0.9905660152435303,0.021583735942840576
104,0.9811320900917053,0.06537070870399475,0.001,0.9937106966972351,0.02586696483194828
105,0.9866814613342285,0.04812032729387283,0.001,0.9905660152435303,0.025488868355751038
106,0.9852016568183899,0.04649617150425911,0.001,0.9874213933944702,0.028221603482961655
107,0.9829818606376648,0.057894397526979446,0.001,0.9937106966972351,0.022292431443929672
108,0.9844617247581482,0.0498172864317894,0.001,0.9874213933944702,0.025250380858778954
109,0.984831690788269,0.051895830780267715,0.001,0.9905660152435303,0.019606688991189003
110,0.9852016568183899,0.04972194507718086,0.001,0.9874213933944702,0.020215503871440887
111,0.984831690788269,0.0435405857861042,0.001,0.9937106966972351,0.021461937576532364
112,0.9896411299705505,0.044196367263793945,0.001,0.9905660152435303,0.027530064806342125
113,0.984831690788269,0.04930456355214119,0.001,0.9937106966972351,0.02255253866314888
114,0.9892711639404297,0.03968974947929382,0.001,0.9842767119407654,0.03747055307030678
115,0.9800221920013428,0.0631866306066513,0.001,0.9937106966972351,0.026235679164528847
116,0.9889011979103088,0.045087456703186035,0.001,0.9905660152435303,0.031325459480285645
117,0.9822419285774231,0.0553145594894886,0.001,0.9905660152435303,0.02205507457256317
118,0.9859415292739868,0.04904806986451149,0.001,0.9905660152435303,0.026530500501394272
119,0.9822419285774231,0.05678325518965721,0.001,0.9874213933944702,0.022832324728369713
120,0.9863114953041077,0.049124810844659805,0.001,0.9937106966972351,0.023188099265098572
121,0.9844617247581482,0.05423252657055855,0.001,0.9937106966972351,0.02797337807714939
122,0.9877913594245911,0.041994430124759674,0.001,0.9905660152435303,0.02304338663816452
123,0.9881613254547119,0.04370958358049393,0.001,0.9937106966972351,0.01952909305691719
124,0.9896411299705505,0.03585691750049591,0.001,0.9905660152435303,0.029886998236179352
125,0.9896411299705505,0.03818526118993759,0.001,0.9905660152435303,0.027498284354805946
126,0.9896411299705505,0.03375113382935524,0.001,0.9905660152435303,0.029749354347586632
127,0.9852016568183899,0.046664007008075714,0.001,0.9937106966972351,0.02344641461968422
128,0.9900110960006714,0.03188374638557434,0.001,0.9937106966972351,0.01611853763461113
129,0.9881613254547119,0.039871033281087875,0.001,0.9905660152435303,0.018473448231816292
130,0.9874213933944702,0.042715370655059814,0.001,0.9968553185462952,0.011654082685709
131,0.988531231880188,0.030529221519827843,0.001,0.9937106966972351,0.0233011394739151
132,0.9852016568183899,0.046645671129226685,0.001,0.9937106966972351,0.02551404759287834
133,0.9870514273643494,0.048456210643053055,0.001,0.9779874086380005,0.04560335353016853
134,0.9881613254547119,0.04139984771609306,0.001,0.9874213933944702,0.017905451357364655
135,0.9866814613342285,0.043537687510252,0.001,0.9937106966972351,0.017807770520448685
136,0.9889011979103088,0.032010767608881,0.001,0.9905660152435303,0.01820272207260132
137,0.9896411299705505,0.032297808676958084,0.001,0.9937106966972351,0.02161182276904583
138,0.985571563243866,0.04972633719444275,0.001,0.9968553185462952,0.019887996837496758
139,0.9852016568183899,0.04658190906047821,0.001,0.9937106966972351,0.02157614566385746
140,0.9881613254547119,0.03849756345152855,0.001,0.9968553185462952,0.014498962089419365
141,0.9815020561218262,0.05438414216041565,0.001,0.9968553185462952,0.023302873596549034
142,0.9900110960006714,0.029520602896809578,0.001,0.9968553185462952,0.020284730941057205
143,0.9914909601211548,0.026587989181280136,0.001,0.9937106966972351,0.017298996448516846
144,0.9870514273643494,0.039601318538188934,0.001,0.9905660152435303,0.0223847609013319
145,0.9840917587280273,0.05304557830095291,0.001,0.9905660152435303,0.02248520776629448
146,0.9852016568183899,0.04615125060081482,0.001,0.9937106966972351,0.021730588749051094
147,0.9900110960006714,0.033664967864751816,0.001,0.9937106966972351,0.02120279334485531
148,0.9922308325767517,0.029520634561777115,0.001,0.9905660152435303,0.041506484150886536
149,0.9844617247581482,0.04488297924399376,0.001,0.9905660152435303,0.022630171850323677
